time	rep	total	spore	total_dil	spor_dil
6984	B	57	31	5	5
6984	C	53	31	5	5
6984	D	80	54	5	5
7032	A	53	30	5	5
7032	B	41	49	5	5
7032	C	69	35	5	5
7032	D	53	46	5	5
7080	A	50	38	5	5
7080	B	68	30	5	5
7080	C	55	44	5	5
7080	D	59	56	5	5
7128	A	44	32	5	5
7128	B	63	35	5	5
7128	C	58	55	5	5
7128	D	51	32	5	5
7176	A	36	28	5	5
7176	B	41	34	5	5
7176	C	62	42	5	5
7176	D	57	38	5	5
7224	A	35	28	5	5
7224	B	41	26	5	5
7224	C	55	35	5	5
7224	D	33	43	5	5
7272	A	43	30	5	5
7272	B	52	33	5	5
7272	C	47	41	5	5
7272	D	49	35	5	5
7320	A	51	30	5	5
7320	B	49	42	5	5
7320	C	52	44	5	5
7320	D	51	39	5	5
7368	A	68	27	5	5
7368	B	42	23	5	5
7368	C	37	26	5	5
7368	D	57	27	5	5
7416	A	48	26	5	5
7416	B	56	34	5	5
7416	C	53	34	5	5
7416	D	58	32	5	5
7464	A	56	37	5	5
7464	B	49	28	5	5
7464	C	49	27	5	5
7464	D	57	25	5	5
7512	A	57	13	5	5
7512	B	65	23	5	5
7512	C	52	19	5	5
7512	D	57	24	5	5
7560	A	44	24	5	5
7560	B	52	34	5	5
7560	C	60	42	5	5
7560	D	56	34	5	5
7608	A	48	31	5	5
7608	B	49	38	5	5
7608	C	61	42	5	5
7608	D	52	37	5	5
7656	A	51	34	5	5
7656	B	39	36	5	5
7656	C	60	34	5	5
7656	D	51	36	5	5
7704	A	23	22	5	5
7704	B	35	17	5	5
7704	C	33	23	5	5
7704	D	26	20	5	5
7752	A	20	31	5	5
7752	B	45	47	5	5
7752	C	36	31	5	5
7752	D	37	44	5	5
7800	A	39	34	5	5
7800	B	49	37	5	5
7800	C	42	25	5	5
7800	D	53	23	5	5
7848	A	36	43	5	5
7848	B	37	41	5	5
7848	C	40	30	5	5
7848	D	58	45	5	5
7896	A	28	36	5	5
7896	B	38	24	5	5
7896	C	30	26	5	5
7896	D	47	36	5	5
7944	A	53	44	5	5
7944	B	66	46	5	5
7944	C	60	37	5	5
7944	D	51	39	5	5
7992	A	54	27	5	5
7992	B	53	34	5	5
7992	C	48	28	5	5
7992	D	74	40	5	5
8040	A	38	43	5	5
8040	B	54	41	5	5
8040	C	48	28	5	5
8040	D	62	40	5	5
8088	A	41	44	5	5
8088	B	61	38	5	5
8088	C	51	44	5	5
8088	D	60	43	5	5
8136	A	44	29	5	5
8136	B	41	32	5	5
8136	C	45	37	5	5
8136	D	40	41	5	5
8184	A	35	41	5	5
8184	B	59	44	5	5
8184	C	47	29	5	5
8184	D	38	29	5	5
8232	A	54	29	5	5
8232	B	62	38	5	5
8232	C	41	31	5	5
8232	D	45	54	5	5
8280	A	72	36	5	5
8280	B	64	29	5	5
8280	C	49	33	5	5
8280	D	63	36	5	5
8328	A	60	46	5	5
8328	B	61	44	5	5
8328	C	46	52	5	5
8328	D	55	40	5	5
8376	A	30	48	5	5
8376	B	42	35	5	5
8376	C	52	34	5	5
8376	D	57	24	5	5
8424	A	31	30	5	5
8424	B	40	41	5	5
8424	C	52	47	5	5
8424	D	46	27	5	5
8472	A	26	30	5	5
8472	B	36	34	5	5
8472	C	40	41	5	5
8472	D	34	38	5	5
8520	A	46	27	5	5
8520	B	40	33	5	5
8520	C	37	35	5	5
8520	D	34	33	5	5
8568	A	54	38	5	5
8568	B	52	18	5	5
8568	C	67	42	5	5
8568	D	44	27	5	5
8616	A	48	38	5	5
8616	B	55	43	5	5
8616	C	53	37	5	5
8616	D	55	37	5	5
8664	A	54	37	5	5
