time	rep	total	spore	total_dil	spor_dil
11180	A	179	131	3	3
11180	B	206	161	3	3
11180	C	97	76	3	3
11180	D	129	101	3	3
11228	A	153	133	3	3
11228	B	191	175	3	3
11228	C	108	102	3	3
11228	D	111	99	3	3
11276	A	138	102	3	3
11276	B	172	147	3	3
11276	C	92	73	3	3
11276	D	115	98	3	3
11324	A	178	107	3	3
11324	B	232	136	3	3
11324	C	121	58	3	3
11324	D	99	88	3	3
11372	A	172	118	3	3
11372	B	208	153	3	3
11372	C	111	99	3	3
11372	D	133	110	3	3
11420	A	175	138	3	3
11420	B	186	187	3	3
11420	C	99	78	3	3
11420	D	94	118	3	3
11468	A	157	142	3	3
11468	B	228	169	3	3
11468	C	106	82	3	3
11468	D	112	98	3	3
11516	A	178	145	3	3
11516	B	181	199	3	3
11516	C	107	78	3	3
11516	D	100	103	3	3
11564	A	109	92	3	3
11564	B	131	87	3	3
11564	C	102	122	3	3
11564	D	136	94	3	3
11612	A	112	103	3	3
11612	B	155	106	3	3
11612	C	125	130	3	3
11612	D	146	133	3	3
11660	A	161	79	3	3
11660	B	127	105	3	3
11660	C	142	117	3	3
11660	D	137	108	3	3
11708	A	152	88	3	3
